geolocation_zip_state_id,geolocation_zip_code_prefix,geolocation_state,region_id,representative_city,observation_count,distinct_city_count,latitude_mean_all,longitude_mean_all,latitude_mean_in_broad_bbox,longitude_mean_in_broad_bbox,broad_bbox_outlier_count
29770-ES,29770,ES,ES,mantenopolis,40,2,-18.863693,-41.118759,-18.863693,-41.118759,0
29772-ES,29772,ES,ES,santa luzia de mantenopolis,2,1,-18.884935,-41.015550,-18.884935,-41.015550,0
29780-ES,29780,ES,ES,sao gabriel da palha,149,2,-19.017539,-40.537255,-19.017539,-40.537255,0
29785-ES,29785,ES,ES,vila valerio,46,2,-18.994924,-40.383087,-18.994924,-40.383087,0
29795-ES,29795,ES,ES,aguia branca,28,2,-18.985716,-40.742271,-18.985716,-40.742271,0
29800-ES,29800,ES,ES,barra de sao francisco,145,3,-18.748314,-40.885886,-18.748314,-40.885886,0
29807-ES,29807,ES,ES,monte sinai,3,1,-18.586568,-40.887041,-18.586568,-40.887041,0
29815-ES,29815,ES,ES,paulista,3,1,-18.664810,-40.794957,-18.664810,-40.794957,0
29820-ES,29820,ES,ES,agua doce do norte,28,2,-18.543085,-40.984977,-18.543085,-40.984977,0
29822-ES,29822,ES,ES,vila nelita,2,1,-18.476714,-41.018778,-18.476714,-41.018778,0
29824-ES,29824,ES,ES,santo agostinho,1,1,-18.412780,-41.036670,-18.412780,-41.036670,0
29826-ES,29826,ES,ES,governador lacerda de aguiar,1,1,-18.633610,-40.942780,-18.633610,-40.942780,0
29830-ES,29830,ES,ES,nova venecia,201,2,-18.706581,-40.406384,-18.706581,-40.406384,0
29843-ES,29843,ES,ES,vila pavao,29,2,-18.619934,-40.604154,-18.619934,-40.604154,0
29845-ES,29845,ES,ES,boa esperanca,54,2,-18.535837,-40.301313,-18.535837,-40.301313,0
29850-ES,29850,ES,ES,ecoporanga,65,1,-18.368816,-40.825974,-18.368816,-40.825974,0
29880-ES,29880,ES,ES,mucurici,17,1,-18.084970,-40.521051,-18.084970,-40.521051,0
29884-ES,29884,ES,ES,itabaiana,2,1,-12.638524,-37.947255,-12.638524,-37.947255,0
29885-ES,29885,ES,ES,ponto belo,20,1,-18.129889,-40.538331,-18.129889,-40.538331,0
29890-ES,29890,ES,ES,montanha,68,1,-18.131133,-40.357112,-18.131133,-40.357112,0
29894-ES,29894,ES,ES,vinhatico,1,1,-18.198594,-40.263793,-18.198594,-40.263793,0
29900-ES,29900,ES,ES,linhares,221,1,-19.394303,-40.067448,-19.394303,-40.067448,0
29901-ES,29901,ES,ES,linhares,119,2,-19.398462,-40.057546,-19.398462,-40.057546,0
29902-ES,29902,ES,ES,linhares,79,1,-19.380586,-40.062143,-19.380586,-40.062143,0
29903-ES,29903,ES,ES,linhares,124,1,-19.392474,-40.048084,-19.392474,-40.048084,0
29904-ES,29904,ES,ES,linhares,32,1,-19.375548,-40.057646,-19.375548,-40.057646,0
29905-ES,29905,ES,ES,linhares,44,1,-19.364681,-40.052614,-19.364681,-40.052614,0
29906-ES,29906,ES,ES,linhares,36,1,-19.355413,-40.053738,-19.355413,-40.053738,0
29907-ES,29907,ES,ES,linhares,37,1,-19.375336,-40.071496,-19.375336,-40.071496,0
29908-ES,29908,ES,ES,linhares,14,1,-19.349623,-40.050018,-19.349623,-40.050018,0
29909-ES,29909,ES,ES,linhares,27,1,-19.299555,-40.066206,-19.299555,-40.066206,0
29913-ES,29913,ES,ES,linhares,2,1,-19.408266,-40.064600,-19.408266,-40.064600,0
29918-ES,29918,ES,ES,linhares,1,1,-19.391727,-40.061085,-19.391727,-40.061085,0
29920-ES,29920,ES,ES,rio bananal,64,1,-19.262419,-40.325325,-19.262419,-40.325325,0
29925-ES,29925,ES,ES,sao jorge do tiradentes,3,1,-8.445857,-53.478908,-8.445857,-53.478908,0
29927-ES,29927,ES,ES,sooretama,58,1,-19.189128,-40.100861,-19.189128,-40.100861,0
29930-ES,29930,ES,ES,sao mateus,122,2,-18.718212,-39.854863,-18.718212,-39.854863,0
29931-ES,29931,ES,ES,sao mateus,60,2,-18.717483,-39.866028,-18.717483,-39.866028,0
29932-ES,29932,ES,ES,sao mateus,15,2,-18.711847,-39.872479,-18.711847,-39.872479,0
29933-ES,29933,ES,ES,sao mateus,34,2,-18.719212,-39.847888,-18.719212,-39.847888,0
29934-ES,29934,ES,ES,sao mateus,21,1,-18.718329,-39.838595,-18.718329,-39.838595,0
29936-ES,29936,ES,ES,sao mateus,31,2,-18.729770,-39.847884,-18.729770,-39.847884,0
29937-ES,29937,ES,ES,sao mateus,18,2,-18.732788,-39.842359,-18.732788,-39.842359,0
29938-ES,29938,ES,ES,sao mateus,3,1,-18.726016,-39.855779,-18.726016,-39.855779,0
29940-ES,29940,ES,ES,sao mateus,11,2,-18.719149,-39.874049,-18.719149,-39.874049,0
29941-ES,29941,ES,ES,sao mateus,34,2,-18.717774,-39.874246,-18.717774,-39.874246,0
29942-ES,29942,ES,ES,sao mateus,14,2,-18.726388,-39.867380,-18.726388,-39.867380,0
29943-ES,29943,ES,ES,sao mateus,7,2,-18.722186,-39.917745,-18.722186,-39.917745,0
29944-ES,29944,ES,ES,sao mateus,1,1,-18.773464,-39.755005,-18.773464,-39.755005,0
29945-ES,29945,ES,ES,sao mateus,35,2,-18.740364,-39.754691,-18.740364,-39.754691,0
29946-ES,29946,ES,ES,sao mateus,18,2,-18.733587,-39.772990,-18.733587,-39.772990,0
29950-ES,29950,ES,ES,jaguare,89,2,-18.908355,-40.075867,-18.908355,-40.075867,0
29960-ES,29960,ES,ES,conceicao da barra,56,2,-18.576966,-39.737575,-18.576966,-39.737575,0
29965-ES,29965,ES,ES,itaunas,1,1,-18.418738,-39.708064,-18.418738,-39.708064,0
29967-ES,29967,ES,ES,braco do rio,12,3,-19.245934,-40.091153,-19.245934,-40.091153,0
29970-ES,29970,ES,ES,pedro canario,84,2,-18.293164,-39.958585,-18.293164,-39.958585,0
29978-ES,29978,ES,ES,cristal do norte,1,1,-18.089158,-40.109599,-18.089158,-40.109599,0
29980-ES,29980,ES,ES,pinheiros,94,1,-18.410899,-40.219402,-18.410899,-40.219402,0
29985-ES,29985,ES,ES,sao joao do sobrado,3,1,-18.320978,-40.405721,-18.320978,-40.405721,0
30001-MG,30001,MG,MG,belo horizonte,1,1,-19.923989,-43.935706,-19.923989,-43.935706,0
30035-MG,30035,MG,MG,belo horizonte,1,1,-19.901155,-43.918429,-19.901155,-43.918429,0
30108-MG,30108,MG,MG,belo horizonte,1,1,-18.991910,-49.450676,-18.991910,-49.450676,0
30110-MG,30110,MG,MG,belo horizonte,213,1,-19.929476,-43.936924,-19.929476,-43.936924,0
30111-MG,30111,MG,MG,belo horizonte,13,1,-19.917826,-43.942418,-19.917826,-43.942418,0
30112-MG,30112,MG,MG,belo horizonte,161,1,-19.937177,-43.935649,-19.937177,-43.935649,0
30120-MG,30120,MG,MG,belo horizonte,120,1,-19.918527,-43.939890,-19.918527,-43.939890,0
30130-MG,30130,MG,MG,belo horizonte,553,1,-19.931856,-43.932647,-19.931856,-43.932647,0
30140-MG,30140,MG,MG,belo horizonte,810,1,-19.931049,-43.936033,-19.931049,-43.936033,0
30150-MG,30150,MG,MG,belo horizonte,490,1,-19.925953,-43.927001,-19.925953,-43.927001,0
30160-MG,30160,MG,MG,belo horizonte,365,1,-19.927500,-43.939575,-19.927500,-43.939575,0
30166-MG,30166,MG,MG,belo horizonte,1,1,-19.926232,-43.937793,-19.926232,-43.937793,0
30170-MG,30170,MG,MG,belo horizonte,477,1,-19.927104,-43.944964,-19.927104,-43.944964,0
30171-MG,30171,MG,MG,belo horizonte,1,1,-19.923999,-43.944360,-19.923999,-43.944360,0
30180-MG,30180,MG,MG,belo horizonte,488,1,-19.926410,-43.945864,-19.926410,-43.945864,0
30186-MG,30186,MG,MG,belo horizonte,1,1,-19.908058,-43.883818,-19.908058,-43.883818,0
30190-MG,30190,MG,MG,belo horizonte,457,1,-19.924640,-43.946122,-19.924640,-43.946122,0
30210-MG,30210,MG,MG,belo horizonte,91,1,-19.950788,-43.918388,-19.950788,-43.918388,0
30220-MG,30220,MG,MG,belo horizonte,291,1,-19.940115,-43.919580,-19.940115,-43.919580,0
30230-MG,30230,MG,MG,belo horizonte,15,1,-19.928757,-43.911598,-19.928757,-43.911598,0
30240-MG,30240,MG,MG,belo horizonte,364,1,-19.929634,-43.917779,-19.929634,-43.917779,0
30250-MG,30250,MG,MG,belo horizonte,15,1,-19.927922,-43.921733,-19.927922,-43.921733,0
30260-MG,30260,MG,MG,belo horizonte,147,1,-19.924397,-43.911783,-19.924397,-43.911783,0
30270-MG,30270,MG,MG,belo horizonte,123,1,-19.921343,-43.906158,-19.921343,-43.906158,0
30280-MG,30280,MG,MG,belo horizonte,134,1,-19.908088,-43.904395,-19.908088,-43.904395,0
30285-MG,30285,MG,MG,belo horizonte,219,1,-19.916749,-43.901830,-19.916749,-43.901830,0
30286-MG,30286,MG,MG,belo horizonte,4,1,-19.926560,-43.925785,-19.926560,-43.925785,0
