date_id,date,day_of_month,day_of_week_iso,day_name,day_name_short,week_start_date,iso_week,iso_year,month_number,month_name,month_name_short,year_month,quarter_number,year_quarter,year,is_weekend,is_month_end
20161015,2016-10-15,15,6,Saturday,Sat,2016-10-10,41,2016,10,October,Oct,2016-10,4,2016-Q4,2016,1,0
20161016,2016-10-16,16,7,Sunday,Sun,2016-10-10,41,2016,10,October,Oct,2016-10,4,2016-Q4,2016,1,0
20161017,2016-10-17,17,1,Monday,Mon,2016-10-17,42,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161018,2016-10-18,18,2,Tuesday,Tue,2016-10-17,42,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161019,2016-10-19,19,3,Wednesday,Wed,2016-10-17,42,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161020,2016-10-20,20,4,Thursday,Thu,2016-10-17,42,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161021,2016-10-21,21,5,Friday,Fri,2016-10-17,42,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161022,2016-10-22,22,6,Saturday,Sat,2016-10-17,42,2016,10,October,Oct,2016-10,4,2016-Q4,2016,1,0
20161023,2016-10-23,23,7,Sunday,Sun,2016-10-17,42,2016,10,October,Oct,2016-10,4,2016-Q4,2016,1,0
20161024,2016-10-24,24,1,Monday,Mon,2016-10-24,43,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161025,2016-10-25,25,2,Tuesday,Tue,2016-10-24,43,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161026,2016-10-26,26,3,Wednesday,Wed,2016-10-24,43,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161027,2016-10-27,27,4,Thursday,Thu,2016-10-24,43,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161028,2016-10-28,28,5,Friday,Fri,2016-10-24,43,2016,10,October,Oct,2016-10,4,2016-Q4,2016,0,0
20161029,2016-10-29,29,6,Saturday,Sat,2016-10-24,43,2016,10,October,Oct,2016-10,4,2016-Q4,2016,1,0
20161030,2016-10-30,30,7,Sunday,Sun,2016-10-24,43,2016,10,October,Oct,2016-10,4,2016-Q4,2016,1,0
